,cm_wtB1__cm,cm_wtB2__cm,cm_wtB3__cm,hw__cm_wtB1,hw__cm_wtB2,hw__cm_wtB3,hw__el_wtB,el_dem__eldem,Exc_el_p2h__elp2h,el_wtB__elp2h,transf_p2h_dem__elp2h,Exc_el_pv2__elpv2,transf_pv2_dem__elpv2,Exc_el_red__elred,transf_red_dem__elred,hw_dem__hw,elp2h__pv,elpv2__pv_aux,elred__red,cm__rgas,eldem__transf_p2h_dem,eldem__transf_pv2_dem,eldem__transf_red_dem
2021-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5438333333333334,0.0,0.0,0.0,0.0,0.0,19.450673,0.5493266,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.54383333
2021-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,19.454545,0.54545455,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.54
2021-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.563,0.0,0.0,0.0,0.0,0.0,19.431313,0.56868687,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.563
2021-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54625,0.0,0.0,0.0,0.0,0.0,19.448232,0.55176768,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.54625
2021-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54575,0.0,0.0,0.0,0.0,0.0,19.448737,0.55126263,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.54575
2021-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544,0.0,0.0,0.0,0.0,0.0,19.450505,0.54949495,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.544
2021-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49925,0.0,0.0,0.040456777,0.0,0.040456777,19.576621,0.42337938,0.0,0.04045677660135492,0.04045677660135492,20.0,0.0,0.040052209,0.040052209,0.41914558
2021-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52475,0.0058709586,0.0,0.26208977,0.0,0.26796073,20.0,0.0,0.0,0.26796073181615354,0.26796073181615354,20.0,0.0,0.25946888,0.26528112,0.0
2021-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49475,1.5682021,0.0,0.0,1.0684546,0.49974747,20.0,0.0,0.0,1.5682021013346314,1.5682021013346314,20.0,0.0,0.0,0.49475,0.0
2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48425,2.9678918,0.0,0.0,2.4787504,0.48914141,20.0,0.0,0.0,2.9678917690965885,2.9678917690965885,20.0,0.0,0.0,0.48425,0.0
